epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,907.42,1.15029,0.88531,1.24747,0.90123,0.8285,0.90652,0.64086,0.92315,16.5356,1.08784,0.0074026,0.0074026,0.0074026
15,962.671,1.15183,0.87494,1.24686,0.91489,0.86032,0.92974,0.67429,0.87818,13.9273,1.0503,0.0072028,0.0072028,0.0072028
16,1018.34,1.14155,0.8594,1.24028,0.92533,0.86525,0.9276,0.66849,0.8854,10.9579,1.0601,0.007003,0.007003,0.007003
17,1073.74,1.12311,0.83796,1.23027,0.92258,0.88027,0.93612,0.67889,0.8773,8.15111,1.04569,0.0068032,0.0068032,0.0068032
18,1128.95,1.1248,0.82799,1.22696,0.92846,0.89276,0.93827,0.69004,0.8713,6.93175,1.03862,0.0066034,0.0066034,0.0066034
19,1183.83,1.11909,0.82796,1.22965,0.95023,0.88017,0.94188,0.70367,0.85606,2.56841,1.02603,0.0064036,0.0064036,0.0064036
20,1238.66,1.11104,0.80976,1.22078,0.9408,0.89606,0.94601,0.70118,0.87247,4.30045,1.03037,0.0062038,0.0062038,0.0062038
21,1294.15,1.10643,0.80031,1.22305,0.93911,0.89925,0.94637,0.70806,0.85226,8.77031,1.02404,0.006004,0.006004,0.006004
22,1349.12,1.09592,0.78061,1.20687,0.94563,0.90692,0.95535,0.71487,0.83835,4.98052,1.00672,0.0058042,0.0058042,0.0058042
23,1404.42,1.10263,0.78489,1.21453,0.94954,0.89614,0.95306,0.71586,0.84068,5.47539,1.00957,0.0056044,0.0056044,0.0056044
24,1459.78,1.08012,0.76555,1.20458,0.93871,0.89096,0.94436,0.7089,0.82966,7.4318,1.00563,0.0054046,0.0054046,0.0054046
25,1514.6,1.08133,0.76545,1.2006,0.95795,0.90941,0.95846,0.7214,0.82949,5.96302,1.00131,0.0052048,0.0052048,0.0052048
26,1569.9,1.0811,0.7543,1.19994,0.9527,0.90625,0.95862,0.7185,0.83832,5.48019,1.0039,0.005005,0.005005,0.005005
27,1625.37,1.06763,0.74595,1.19042,0.96269,0.89922,0.9558,0.72295,0.82498,4.54429,0.99618,0.0048052,0.0048052,0.0048052
28,1680.25,1.06015,0.73146,1.18483,0.96026,0.90196,0.95699,0.72839,0.81934,3.65252,0.99163,0.0046054,0.0046054,0.0046054
29,1735.37,1.06344,0.73624,1.18797,0.9521,0.90797,0.95826,0.72596,0.81152,7.59914,0.98727,0.0044056,0.0044056,0.0044056
30,1790.65,1.05542,0.72517,1.1832,0.95833,0.9061,0.95994,0.73642,0.80959,5.57708,0.9838,0.0042058,0.0042058,0.0042058
31,1845.49,1.05047,0.71893,1.182,0.95472,0.91794,0.96322,0.73659,0.80764,5.24981,0.9828,0.004006,0.004006,0.004006
32,1900.69,1.03867,0.70917,1.17324,0.95614,0.91689,0.96232,0.73749,0.80678,4.95923,0.97926,0.0038062,0.0038062,0.0038062
33,1955.91,1.03765,0.70402,1.16959,0.96163,0.91867,0.96394,0.73733,0.80412,5.92859,0.97934,0.0036064,0.0036064,0.0036064
34,2010.86,1.03334,0.69895,1.17086,0.95928,0.91898,0.96335,0.7471,0.79991,4.1445,0.9721,0.0034066,0.0034066,0.0034066
35,2065.82,1.02488,0.69018,1.16517,0.96192,0.91232,0.96314,0.74339,0.79905,4.74152,0.97938,0.0032068,0.0032068,0.0032068
36,2121.01,1.02432,0.68468,1.16393,0.95842,0.90929,0.96215,0.74124,0.79802,5.125,0.97055,0.003007,0.003007,0.003007
37,2176.08,1.01552,0.6738,1.16052,0.96255,0.90922,0.96443,0.7459,0.79491,4.95785,0.96964,0.0028072,0.0028072,0.0028072
38,2231.32,1.01231,0.66653,1.15518,0.96111,0.91514,0.96374,0.74599,0.79232,4.56593,0.96643,0.0026074,0.0026074,0.0026074
39,2286.74,1.00572,0.65964,1.14995,0.9681,0.92204,0.96411,0.74853,0.79013,5.05677,0.9641,0.0024076,0.0024076,0.0024076
40,2341.67,1.00484,0.6596,1.15268,0.95068,0.92744,0.9667,0.75413,0.78836,4.46328,0.96278,0.0022078,0.0022078,0.0022078
41,2395.43,0.94177,0.49459,1.11543,0.95684,0.92819,0.96678,0.75309,0.78781,3.15878,0.96436,0.002008,0.002008,0.002008
42,2445.53,0.92905,0.47625,1.10177,0.96756,0.92366,0.96822,0.75818,0.78105,3.01389,0.95701,0.0018082,0.0018082,0.0018082
43,2495.67,0.92033,0.46702,1.10265,0.96308,0.92559,0.9668,0.75602,0.78177,3.28275,0.96116,0.0016084,0.0016084,0.0016084
44,2545.49,0.91131,0.46174,1.09561,0.96633,0.92615,0.96919,0.76058,0.77642,3.56954,0.95808,0.0014086,0.0014086,0.0014086
45,2595.49,0.90547,0.45077,1.09091,0.96223,0.92899,0.97009,0.76222,0.77551,3.8537,0.95576,0.0012088,0.0012088,0.0012088
46,2645.55,0.89406,0.43995,1.08067,0.96173,0.92561,0.96714,0.7616,0.77492,3.27385,0.95436,0.001009,0.001009,0.001009
47,2695.48,0.88583,0.43403,1.07724,0.9608,0.92584,0.96636,0.76062,0.77399,3.41755,0.9542,0.0008092,0.0008092,0.0008092
48,2745.53,0.88039,0.42606,1.07163,0.96496,0.92874,0.96888,0.76407,0.77434,3.48514,0.95384,0.0006094,0.0006094,0.0006094
49,2795.48,0.87324,0.42138,1.07162,0.96433,0.92875,0.96829,0.7632,0.77357,3.1964,0.955,0.0004096,0.0004096,0.0004096
50,2844.97,0.86582,0.41562,1.06755,0.96497,0.92694,0.96876,0.76344,0.77235,2.97587,0.95369,0.0002098,0.0002098,0.0002098
