epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2975.37,1.12711,0.74012,1.20076,0.9656,0.92894,0.97151,0.74563,0.8191,3.94941,0.97234,0.0048063,0.0048063,0.0048063
43,3042.47,1.1233,0.73964,1.20396,0.95431,0.93448,0.97023,0.74593,0.81877,3.78662,0.97233,0.0046104,0.0046104,0.0046104
44,3109.64,1.11363,0.72718,1.19691,0.96094,0.92296,0.96763,0.74369,0.81831,4.45004,0.97197,0.00441511,0.00441511,0.00441511
45,3176.84,1.11286,0.72157,1.19036,0.95858,0.93448,0.9701,0.74511,0.81671,4.32217,0.97182,0.00422072,0.00422072,0.00422072
46,3244.1,1.1024,0.71869,1.19267,0.96102,0.92655,0.97205,0.74757,0.81224,3.58313,0.96792,0.00402754,0.00402754,0.00402754
47,3311.41,1.10329,0.70736,1.19043,0.95858,0.92944,0.97225,0.74906,0.8109,3.96744,0.96623,0.00383586,0.00383586,0.00383586
48,3378.52,1.09263,0.70842,1.18563,0.95949,0.93434,0.97159,0.75112,0.80756,4.69229,0.96275,0.00364598,0.00364598,0.00364598
49,3446.05,1.09372,0.69885,1.18057,0.95904,0.93735,0.97277,0.75227,0.80419,4.47015,0.95882,0.00345819,0.00345819,0.00345819
50,3513.53,1.08218,0.69187,1.17562,0.96738,0.93316,0.97248,0.75458,0.80283,3.96612,0.95913,0.00327278,0.00327278,0.00327278
51,3580.86,1.08113,0.68057,1.17423,0.96237,0.93451,0.97137,0.75141,0.80367,4.56531,0.9608,0.00309004,0.00309004,0.00309004
52,3647.98,1.07461,0.67733,1.17115,0.96435,0.93242,0.97342,0.753,0.80286,4.54174,0.95741,0.00291025,0.00291025,0.00291025
53,3714.94,1.07049,0.67693,1.17237,0.96645,0.93748,0.97457,0.75589,0.80217,4.21987,0.95816,0.00273368,0.00273368,0.00273368
54,3782.11,1.06357,0.67154,1.16774,0.96281,0.94078,0.97513,0.75696,0.80138,3.92896,0.95743,0.00256062,0.00256062,0.00256062
55,3849.37,1.07106,0.66756,1.17154,0.95973,0.94222,0.97578,0.75771,0.80257,3.69415,0.95909,0.00239131,0.00239131,0.00239131
56,3916.71,1.06219,0.66084,1.16196,0.95697,0.94232,0.97595,0.75747,0.79975,3.84724,0.95705,0.00222604,0.00222604,0.00222604
57,3983.71,1.05806,0.66413,1.16636,0.95474,0.94359,0.97547,0.75987,0.79776,4.21053,0.95584,0.00206504,0.00206504,0.00206504
58,4050.89,1.0498,0.65513,1.15967,0.95992,0.94255,0.97573,0.76157,0.79728,4.33966,0.95607,0.00190858,0.00190858,0.00190858
59,4117.84,1.04495,0.64192,1.15198,0.95958,0.94431,0.97551,0.76164,0.79656,4.26405,0.95521,0.00175688,0.00175688,0.00175688
60,4185.03,1.03881,0.63497,1.14904,0.96279,0.94287,0.97527,0.76133,0.79686,4.07661,0.95426,0.00161019,0.00161019,0.00161019
61,4252.21,1.03701,0.64116,1.15333,0.96283,0.94212,0.97571,0.76207,0.79641,4.12226,0.95271,0.00146873,0.00146873,0.00146873
62,4319.22,1.02887,0.62663,1.14762,0.95968,0.94281,0.97572,0.76252,0.79375,4.14899,0.95066,0.00133272,0.00133272,0.00133272
63,4386.01,1.02436,0.62525,1.14543,0.96185,0.94442,0.97592,0.76366,0.79198,4.12334,0.94903,0.00120237,0.00120237,0.00120237
64,4453.08,1.02322,0.62104,1.14318,0.96483,0.94217,0.97556,0.76263,0.79121,4.03581,0.94819,0.00107788,0.00107788,0.00107788
65,4520.05,1.02378,0.61979,1.1387,0.96506,0.9404,0.97551,0.76287,0.79029,4.04354,0.94692,0.000959438,0.000959438,0.000959438
66,4587.43,1.01369,0.61309,1.13613,0.96491,0.94065,0.97566,0.76316,0.78911,4.09487,0.94565,0.000847231,0.000847231,0.000847231
67,4654.86,1.01041,0.60768,1.13721,0.96608,0.93747,0.97581,0.7631,0.7885,4.23013,0.94592,0.000741431,0.000741431,0.000741431
68,4721.97,1.01363,0.60906,1.13893,0.9654,0.93909,0.9757,0.76271,0.78827,4.32762,0.94649,0.000642201,0.000642201,0.000642201
69,4789.35,1.00851,0.60484,1.13687,0.9645,0.93975,0.97548,0.76307,0.78809,4.3544,0.94636,0.000549695,0.000549695,0.000549695
70,4856.72,1.00472,0.60428,1.13256,0.96344,0.941,0.97572,0.76274,0.78782,4.33459,0.9462,0.000464054,0.000464054,0.000464054
71,4927.08,0.93066,0.44004,1.10183,0.96358,0.94303,0.97518,0.76243,0.78827,4.59919,0.94619,0.000385412,0.000385412,0.000385412
72,4992.54,0.91647,0.42067,1.09753,0.96417,0.94187,0.97488,0.76123,0.78829,4.76155,0.946,0.000313889,0.000313889,0.000313889
73,5057.89,0.91055,0.41648,1.09587,0.96349,0.94331,0.97461,0.76068,0.78818,4.76365,0.94636,0.000249595,0.000249595,0.000249595
74,5123.16,0.90526,0.41473,1.09092,0.96346,0.94271,0.97458,0.76076,0.78793,4.7624,0.94644,0.00019263,0.00019263,0.00019263
75,5188.49,0.90342,0.41301,1.08826,0.96335,0.94306,0.97464,0.7616,0.78791,4.70285,0.94667,0.000143081,0.000143081,0.000143081
76,5253.89,0.89819,0.40969,1.08827,0.96323,0.94342,0.97461,0.76192,0.78798,4.67626,0.94694,0.000101026,0.000101026,0.000101026
77,5319.31,0.89973,0.41033,1.09124,0.96272,0.94395,0.97472,0.76233,0.78803,4.65334,0.94699,6.65275e-05,6.65275e-05,6.65275e-05
78,5384.88,0.89683,0.4057,1.0864,0.96333,0.94346,0.97478,0.76219,0.78777,4.63052,0.94684,3.96404e-05,3.96404e-05,3.96404e-05
79,5450.52,0.9008,0.40532,1.08863,0.96317,0.9433,0.97484,0.76246,0.78783,4.60794,0.94699,2.04056e-05,2.04056e-05,2.04056e-05
80,5516.04,0.89561,0.40537,1.0888,0.9629,0.94309,0.97495,0.76179,0.78782,4.58162,0.94708,8.85289e-06,8.85289e-06,8.85289e-06
